row_id,source_file,claim_text,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,proof_label,grade,recommended_atom_action,notes
KIMI-seven-q-A-001,topics/abc-7q-classifier.html,Christian theology does not begin as a hypothesis.,none (theological ground / L0 instantiation),confesses a theological identification or doctrine,created-order distinction/relation preserved in background,"if removed, corresponding bridge readings lose theological anchor",domain-bound (A); C translates as bridge candidate,coherent_partial,needs_review,yes,C,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register A status partial. Register partial; review before promotion.
KIMI-seven-q-A-002,topics/abc-7q-classifier.html,"It begins with the conviction that God has acted in history — creating, speaking, judging, redeeming — and that this action is attested in Scripture and centered on Jesus Christ.",none (theological ground / L0 instantiation),confesses a theological identification or doctrine,created-order distinction/relation preserved in background,"if removed, corresponding bridge readings lose theological anchor",domain-bound (A); C translates as bridge candidate,coherent_partial,needs_review,yes,S,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register A status partial. Register partial; review before promotion. Scriptural/traditional source.
KIMI-seven-q-A-003,topics/abc-7q-classifier.html,"From that starting point, theology reasons outward, asking how the world must be if this God is real.",none (theological ground / L0 instantiation),confesses a theological identification or doctrine,created-order distinction/relation preserved in background,"if removed, corresponding bridge readings lose theological anchor",domain-bound (A); C translates as bridge candidate,coherent_partial,needs_review,yes,C,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register A status partial. Register partial; review before promotion.
KIMI-seven-q-A-004,topics/abc-7q-classifier.html,"This is the pattern of faith seeking understanding: not faith demanding proof, but faith offering reasons.",none (theological ground / L0 instantiation),confesses a theological identification or doctrine,created-order distinction/relation preserved in background,"if removed, corresponding bridge readings lose theological anchor",domain-bound (A); C translates as bridge candidate,coherent_partial,needs_review,yes,C,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register A status partial. Register partial; review before promotion.
KIMI-seven-q-A-005,topics/abc-7q-classifier.html,The church has never been afraid of questions.,none (theological ground / L0 instantiation),confesses a theological identification or doctrine,created-order distinction/relation preserved in background,"if removed, corresponding bridge readings lose theological anchor",domain-bound (A); C translates as bridge candidate,coherent_partial,needs_review,yes,C,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register A status partial. Register partial; review before promotion.
KIMI-seven-q-A-006,topics/abc-7q-classifier.html,"Augustine, Anselm, and Aquinas all pursued rigor because they believed truth is one and that all truth is God's truth.",none (theological ground / L0 instantiation),confesses a theological identification or doctrine,created-order distinction/relation preserved in background,"if removed, corresponding bridge readings lose theological anchor",domain-bound (A); C translates as bridge candidate,coherent_partial,needs_review,yes,C,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register A status partial. Register partial; review before promotion.
KIMI-seven-q-A-007,topics/abc-7q-classifier.html,"A classifier that tests worldviews by consistency and explanatory cost is therefore theologically welcome, as long as it does not pretend Christianity is just one option among equals.",none (theological ground / L0 instantiation),confesses a theological identification or doctrine,created-order distinction/relation preserved in background,"if removed, corresponding bridge readings lose theological anchor",domain-bound (A); C translates as bridge candidate,coherent_partial,needs_review,yes,C,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register A status partial. Register partial; review before promotion.
KIMI-seven-q-A-008,topics/abc-7q-classifier.html,"Theology enters the classifier with its commitments fully visible: God as Creator, humans as image-bearers, sin as real rebellion, grace as unmerited rescue, and redemption as the work of Christ.",none (theological ground / L0 instantiation),confesses a theological identification or doctrine,created-order distinction/relation preserved in background,"if removed, corresponding bridge readings lose theological anchor",domain-bound (A); C translates as bridge candidate,coherent_partial,needs_review,yes,C,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register A status partial. Register partial; review before promotion.
KIMI-seven-q-A-009,topics/abc-7q-classifier.html,These are not conclusions borrowed from physics; they are the lens through which the framework reads everything else.,none (theological ground / L0 instantiation),confesses a theological identification or doctrine,created-order distinction/relation preserved in background,"if removed, corresponding bridge readings lose theological anchor",domain-bound (A); C translates as bridge candidate,coherent_partial,needs_review,yes,C,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register A status partial. Register partial; review before promotion.
KIMI-seven-q-B-001,topics/abc-7q-classifier.html,"The classifier uses logic, consistency, and explanatory comparison.",requires empirical method / opening axioms (L0-L2),"introduces a physics-register model, observation, or formal method",mathematical/logical lower-layer floor preserved,"if removed, dependent bridge claims collapse to analogy",domain-bound (B); C translates structure across,coherent_partial,needs_review,yes,PM,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register B status partial. Register partial; review before promotion. Philosophical/model claim.
KIMI-seven-q-B-002,topics/abc-7q-classifier.html,"It is not a physics experiment, and worldview scoring should not be presented as laboratory measurement.",requires empirical method / opening axioms (L0-L2),"introduces a physics-register model, observation, or formal method",mathematical/logical lower-layer floor preserved,"if removed, dependent bridge claims collapse to analogy",domain-bound (B); C translates structure across,coherent_partial,needs_review,yes,PM,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register B status partial. Register partial; review before promotion. Philosophical/model claim.
KIMI-seven-q-B-003,topics/abc-7q-classifier.html,"Several nodes depend on interpretive choices in quantum foundations (Copenhagen, observer participation), with Many-Worlds and QBism as live alternatives.",requires empirical method / opening axioms (L0-L2),"introduces a physics-register model, observation, or formal method",mathematical/logical lower-layer floor preserved,"if removed, dependent bridge claims collapse to analogy",domain-bound (B); C translates structure across,coherent_partial,needs_review,yes,PH,C,create_gap_atom,Claim-level v0.2 pass; pre-pill. Register B status partial. Register partial; review before promotion. Physics-register claim; formal/empirical support required.
KIMI-seven-q-C-001,topics/abc-7q-classifier.html,7Q is a pressure test.,requires both A and B register content,introduces cross-register bridge translation / correspondence,preserves both theological and scientific floors,"if removed, cross-register coherence collapses",A↔B↔C translation,coherent_partial,needs_review,yes,BR,C,create_bridge_atom,"Claim-level v0.2 pass; pre-pill. Register C status partial. Register partial; review before promotion. Bridge correspondence, not proof."
KIMI-seven-q-C-002,topics/abc-7q-classifier.html,It asks what a worldview can explain without hidden subsidies.,requires both A and B register content,introduces cross-register bridge translation / correspondence,preserves both theological and scientific floors,"if removed, cross-register coherence collapses",A↔B↔C translation,coherent_partial,needs_review,yes,BR,C,create_bridge_atom,"Claim-level v0.2 pass; pre-pill. Register C status partial. Register partial; review before promotion. Bridge correspondence, not proof."
KIMI-seven-q-C-003,topics/abc-7q-classifier.html,"It helps expose gaps, but it does not replace the deeper argument.",requires both A and B register content,introduces cross-register bridge translation / correspondence,preserves both theological and scientific floors,"if removed, cross-register coherence collapses",A↔B↔C translation,coherent_partial,needs_review,yes,BR,C,create_bridge_atom,"Claim-level v0.2 pass; pre-pill. Register C status partial. Register partial; review before promotion. Bridge correspondence, not proof."
KIMI-seven-q-C-004,topics/abc-7q-classifier.html,Q0 — Existence: 14 worldviews survive.,requires both A and B register content,introduces cross-register bridge translation / correspondence,preserves both theological and scientific floors,"if removed, cross-register coherence collapses",A↔B↔C translation,coherent_partial,needs_review,yes,BR,C,create_bridge_atom,"Claim-level v0.2 pass; pre-pill. Register C status partial. Register partial; review before promotion. Bridge correspondence, not proof."
