"row_id","source_file","claim_text","dg1_dependencies","dg2_new_capability","dg3_preserved_floor","dg4_collapse_if_removed","dg5_translation_registers","dg6_state","dg7_admissible","dg8_closure_pass","proof_label","grade","recommended_atom_action","notes"
"KIMI-axioms","topics/abc-axioms.html","Opening Axioms","A: present; B: present; C: present","Topic organizes A/B/C register claims for Opening Axioms.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","If removed, canon loses this register-aligned topic node.","A: God is first in reality; truth is first in inquiry. | B: Inquiry requires existence, distinction, relation, and orientation/error correction. | C: Theophysics reads the four axioms as projections of a deeper triadic ground.","coherent","yes","yes","ABDUCTIVELY_FAVORED","B","create_claim_atom","DG pass accepts topic as a coherent candidate; still needs claim-level extraction before strong pills."
"KIMI-trinity","topics/abc-trinity.html","Truth and Trinity","A: present; B: partial; C: present","Topic organizes A/B/C register claims for Truth and Trinity.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: Christian theology confesses one God in three persons. | B: Science displays triadic roles in measurement, communication, and records, but does not prove the Trinity. | C: Theophysics marks recurring triadic grammar as bridge/correspondence.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
"KIMI-information","topics/abc-information.html","Information and Witness","A: present; B: present; C: present","Topic organizes A/B/C register claims for Information and Witness.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","If removed, canon loses this register-aligned topic node.","A: Logos, witness, and truth are theological claims about created intelligibility. | B: Information requires distinctions, relations, channels, records, and error correction. | C: K names meaningful information density in the grammar, not matter by itself.","coherent","yes","yes","ABDUCTIVELY_FAVORED","B","create_claim_atom","DG pass accepts topic as a coherent candidate; still needs claim-level extraction before strong pills."
"KIMI-science-triads","topics/abc-science-triads.html","Science Triads","A: partial; B: present; C: present","Topic organizes A/B/C register claims for Science Triads.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: Theology expects creation to bear traces of its Author, but this is not a physics premise. | B: Multiple scientific domains use source/medium/record or system/context/outcome structures. | C: The bridge claim is structural convergence, not proof by counting threes.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
"KIMI-fall-redemption","topics/abc-fall-redemption.html","Fall and Redemption","A: present; B: gap; C: present","Topic organizes A/B/C register claims for Fall and Redemption.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Gap remains named; do not invent missing register.","A: Evil is not a substance God created; refusal becomes actual in free creatures. | B: Science has no account of moral origin before physical systems exist. | C: Theophysics models refusal as closure/decoherence and grace as reopening, with bridge labels.","defective","partial","yes","BRIDGE_DECLARED","D","create_objection_atom","DG pass flags a real gap; make pill as gap/objection, not proof."
"KIMI-why-physics","topics/abc-why-physics.html","Why God Made Physics","A: present; B: partial; C: partial","Topic organizes A/B/C register claims for Why God Made Physics.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: God freely creates a lawful world where love, choice, and grace can become real. | B: Physics describes lawful consequence, time, embodiment, entropy, and open systems without assigning divine purpose. | C: The draft bridge says physics is the ordered medium where relation and repair become public.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
"KIMI-ten-laws","topics/abc-ten-laws.html","Ten Laws","A: present; B: present; C: partial","Topic organizes A/B/C register claims for Ten Laws.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: The laws are read as spiritual structures under Christian theology. | B: The laws draw from named physics domains such as thermodynamics, electromagnetism, and conservation. | C: Some laws are strong or Lean-verified; others are partial, pending, or retired.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
"KIMI-master-equation","topics/abc-master-equation.html","Master Equation","A: present; B: partial; C: partial","Topic organizes A/B/C register claims for Master Equation.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: Coherence is alignment with the truth of God. | B: Physics supplies information rates, dynamics, and entropy constraints, not the theological wrapper. | C: The equation is distributed across canon; a unified derivation remains owed.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
"KIMI-consciousness","topics/abc-consciousness.html","Consciousness","A: present; B: partial; C: partial","Topic organizes A/B/C register claims for Consciousness.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: The soul/person is a receiver, witness, and free responder. | B: The hard problem remains open; empirical ladder claims require care. | C: The witness-field, OPUS mirror sheet, ladder, and Lean dependency target are working bridge models, not solved proof.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
"KIMI-ledger","topics/abc-ledger.html","Ledger and Proof Status","A: present; B: present; C: present","Topic organizes A/B/C register claims for Ledger and Proof Status.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","If removed, canon loses this register-aligned topic node.","A: Truthfulness requires correction in the open. | B: Proof, model, analogy, and conjecture must not be mixed. | C: The ledger and Lean gold ticket standard govern canon status.","coherent","yes","yes","ABDUCTIVELY_FAVORED","B","create_claim_atom","DG pass accepts topic as a coherent candidate; still needs claim-level extraction before strong pills."
"KIMI-lean-verification","topics/abc-lean-verification.html","Lean Verification","A: partial; B: present; C: present","Topic organizes A/B/C register claims for Lean Verification.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: Theology values formal honesty, but Lean does not prove doctrine. | B: Lean checks formal consistency under stated definitions and assumptions. | C: Gold Ticket pages mark what Lean checked; consciousness now has a conditional dependency proof target.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
"KIMI-seven-q","topics/abc-7q-classifier.html","7Q Classifier","A: partial; B: partial; C: partial","Topic organizes A/B/C register claims for 7Q Classifier.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: Theology supplies commitments being tested, not neutral inputs. | B: Classifier logic can compare structures, but worldview scoring is not empirical physics. | C: 7Q is a gauntlet for consistency and explanatory cost, not a final proof engine.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
"KIMI-spiritual-terms","topics/abc-spiritual-terms.html","Spiritual Terms Dictionary","A: present; B: gap; C: present","Topic organizes A/B/C register claims for Spiritual Terms Dictionary.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Gap remains named; do not invent missing register.","A: Terms such as grace, sin, faith, and mercy retain theological meaning. | B: Science does not define spiritual terms as doctrine. | C: The dictionary keeps bridge vocabulary from drifting between registers.","defective","partial","yes","BRIDGE_DECLARED","D","create_objection_atom","DG pass flags a real gap; make pill as gap/objection, not proof."
"KIMI-cost-shadow-doorway","topics/abc-cost-shadow.html","Cost and Shadow Doorway","A: present; B: partial; C: partial","Topic organizes A/B/C register claims for Cost and Shadow Doorway.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: Theology frames shadow, sin, justice, mercy, and atonement. | B: Physics describes cost, entropy, irreversibility, and conservation without moralizing them. | C: Cost/shadow pages are strong doorway material but need review before broad sharing.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
"KIMI-hard-questions","topics/abc-hard-questions.html","Hard Questions and Objections","A: present; B: partial; C: present","Topic organizes A/B/C register claims for Hard Questions and Objections.","Preserves the A/B/C rule: theology leads, science witnesses, Theophysics bridges.","Partial register must not be silently upgraded.","A: Hard theological questions are faced rather than hidden. | B: Science can answer some empirical objections, but not all theological ones. | C: The objection posture is part of the canon's honesty method.","coherent_partial","needs_review","yes","BRIDGE_DECLARED","C","create_bridge_atom","DG pass allows candidate bridge but asks for row-level extraction before promotion."
