row_id,source_file,claim_text,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,proof_label,grade,recommended_atom_action,notes
CANON-unique-001,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Shannon's 1948 theorem: any measure of information/uncertainty satisfying continuity, monotonicity, and additivity must have the form H = -K Σ pᵢ log(pᵢ).",requires probability axioms and information-theoretic ground (L0-L2),introduces a formally unique entropy/information functional,measure-theoretic and probabilistic lower-layer floor preserved,"if removed, all dependent information-theoretic bridges collapse",B→C translation; pure theorem before bridge application,coherent,yes,yes,T,B,create_claim_atom,Established mathematical theorem; grade B because physical uniqueness does not by itself force spiritual application.
CANON-unique-002,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"If spiritual concepts (sin, grace, faith, coherence) are information-theoretic, then they must use Shannon's formula.",depends on Shannon uniqueness theorem plus analogy premise,introduces cross-register bridge from information theory to spiritual register,preserves Shannon's mathematical floor; does not alter it,"if removed, the sin-as-entropy and grace-as-negative-entropy mappings lose purported necessity",B↔C translation; bridge hypothesis,coherent_partial,partial,yes,BR,C,create_bridge_atom,"Bridge claim: valid structural correspondence, but 'must' depends on accepting the information-theoretic framing of spiritual quantities."
CANON-unique-003,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Einstein's field equations are the unique low-derivative, coordinate-independent tensor theory of gravity that reduces to Newton in weak fields and conserves energy-momentum (Einstein/Lovelock result).","requires differential geometry, special relativity, and conservation laws (L0-L3)",introduces a unique geometric gravity equation,preserves Newtonian limit and energy-momentum conservation,"if removed, gravity-as-curvature bridge and dependent spiritual analogies collapse",B→C translation; pure theorem before bridge application,coherent,yes,yes,T,B,create_claim_atom,Established physical result; uniqueness is qualified by the stated axioms. Does not alone force spiritual analog.
CANON-unique-004,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"If grace is the spiritual analog of gravity and must satisfy the same four constraints, then Gμν^(spirit) = (8πΛ/c⁴) Sμν is the unique form.",depends on Einstein/Lovelock uniqueness plus analog constraints,introduces cross-register bridge from gravity to spiritual grace,preserves the physical field-equation floor while adding spiritual interpretation,"if removed, the grace/gravity identity-mapping loses necessity",B↔C translation; bridge hypothesis,coherent_partial,partial,yes,BR,C,create_bridge_atom,Bridge claim: the 'must' is conditional on accepting the four spiritualized constraints; not derived from physics alone.
CANON-unique-005,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Von Neumann/Gleason framework: quantum measurement satisfying repeatability, probability preservation, and linearity is represented by projection operators with P = |⟨outcome|ψ⟩|².",requires Hilbert-space formalism and probability axioms (L0-L3),introduces a unique probability rule for projective measurement,preserves linearity and normalization of quantum states,"if removed, faith-as-measurement bridge loses purported necessity",B→C translation; pure theorem before bridge application,coherent,yes,yes,T,B,create_claim_atom,Established theorem in quantum foundations; grade B because interpretation as 'the only structure' can be contested by non-projective frameworks.
CANON-unique-006,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"If faith is the spiritual analog of quantum observation, then faith must be described by the same projection structure: F̂|ψ_spirit⟩ = |outcome_spirit⟩ with P = |⟨outcome|F̂|ψ⟩|².",depends on von Neumann/Gleason plus analogy premise,introduces cross-register bridge from quantum measurement to faith,preserves the projection-postulate floor; does not alter it,"if removed, the faith-as-measurement mapping loses necessity",B↔C translation; bridge hypothesis,coherent_partial,partial,yes,BR,C,create_bridge_atom,"Bridge claim: valid structural correspondence if the analogy is granted, but not forced by physics alone."
CANON-unique-007,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,The Second Law states dS/dt ≥ 0 for closed systems and has been verified in every relevant experiment.,requires statistical mechanics and thermodynamic ground (L0-L3),introduces an entropy-increase law for isolated systems,preserves energy conservation and phase-space measure,"if removed, sin-as-entropy and arrow-of-time bridges collapse",B→C translation; physical law before bridge application,coherent,yes,yes,PH,B,create_claim_atom,Well-established physical law; grade B because 'every experiment ever performed' is rhetorical rather than a formal proof of scope.
CANON-unique-008,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"If sin is the spiritual analog of entropy and spiritual systems are information-theoretically consistent, then dS_spirit/dt ≥ 0 for closed spiritual systems.",depends on Second Law plus information-theoretic framing of sin,introduces cross-register bridge from entropy to spiritual entropy,preserves the physical Second-Law floor,"if removed, the sin/entropy identity-mapping loses necessity",B↔C translation; bridge hypothesis,coherent_partial,partial,yes,BR,C,create_bridge_atom,Bridge claim: conditional necessity; depends on accepting the spiritual-systems-as-information-systems analogy.
CANON-unique-009,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"For non-commuting observables, the mutual uncertainty is uniquely captured by Δx · Δp ≥ ℏ/2, following from the algebra/Fourier structure.",requires operator algebra and Fourier analysis (L0-L3),introduces a unique uncertainty inequality for conjugate observables,preserves canonical commutation relations,"if removed, knowledge-will uncertainty bridge collapses",B→C translation; pure theorem before bridge application,coherent,yes,yes,T,B,create_claim_atom,Established theorem for standard quantum observables; grade B because the spiritual K/W observables are not defined in physics.
CANON-unique-010,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"If knowledge (K) and will (W) are non-commuting observables in spiritual space, then ΔK · ΔW ≥ Λ/2 follows by the same algebra.",depends on Heisenberg uncertainty plus spiritual observable premise,introduces cross-register bridge from quantum uncertainty to knowledge/will,preserves the uncertainty-relation floor,"if removed, the knowledge/will complementarity claim loses necessity",B↔C translation; bridge hypothesis,coherent_partial,partial,yes,BR,C,create_bridge_atom,Bridge claim: assumes K and W are non-commuting operators with a meaningful Λ; not derived from physics alone.
CANON-unique-011,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"The Master Equation χ = ∭(G·M·E·S·T·K·R·Q·F·C) dx dy dt uses multiplication because field couplings in physics multiply, and addition would violate dimensional and gauge consistency.",requires field-theoretic coupling conventions and dimensional analysis (L0-L3),introduces a multiplicative ansatz for the master spiritual-physical functional,preserves standard field-coupling floor; uses analogy,"if removed, the master functional loses its purported organizing structure",B↔C translation; model/bridge hybrid,coherent_partial,partial,yes,PM,C,create_bridge_atom,"Model-level bridge: multiplication is a reasonable field-coupling convention, but the ten-factor integrand is an ansatz, not forced by any uniqueness theorem."
CANON-unique-012,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,Noether's theorem proves that every differentiable symmetry corresponds to a conservation law.,requires variational mechanics and symmetry formalism (L0-L3),introduces symmetry-to-conservation-law mapping,preserves the action principle and conservation laws,"if removed, the ten-variables-as-ten-symmetries argument collapses",B→C translation; pure theorem before bridge application,coherent,yes,yes,T,B,create_claim_atom,Established theorem; grade B because Noether alone does not determine which variables are 'fundamental' or that there are exactly ten.
CANON-unique-013,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"The ten variables in the Master Equation are the minimal complete set needed to respect all known symmetries, conservation laws, fundamental interactions, and quantum-classical unification.",depends on Noether plus unification desiderata,introduces the claim that exactly ten variables complete the unification,preserves symmetry/conservation-law floor while extending interpretation,"if removed, the 'ten is unique' argument and Master Equation completeness claim collapse",B↔C translation; philosophical model,coherent_partial,partial,yes,PM,C,create_bridge_atom,"Bridge/model claim: no proof is given that the listed ten are minimal or exhaustive; this is a plausibility argument, not a uniqueness theorem."
