atom_id,atom_uid,atom_uuid,event_uuid,claim_title,claim_class,lane,event_type,result,proof_label,current_status,rerun_status,artifact_path,source_path,new_path,reviewer,timestamp,meaning,limits
tp:lane4/axioms/ax-part1-ax-core-a1-1,sha256:cdf241a3251c14db26df0b5e1bc5447661d843af4785682b29c4ca82d331a0d0,,,A1.1 — Existence,classification,Classification,classification_imported,recorded,NOT_ESTABLISHED,active_candidate,not_applicable,O:\_Theophysics_v5\00_AXIOMS\_LOSSLESS_SUMMARY\AXIOMS_PART1_MODE_CLASSIFICATION.md,,,Codex,2026-07-28T19:10:19+00:00,Imported Part 1 mode classification row A1.1 as AX_CORE.,Classification import is not proof and does not promote the claim to canon.
tp:lane4/axioms/ax-part1-ax-core-a1-1,sha256:cdf241a3251c14db26df0b5e1bc5447661d843af4785682b29c4ca82d331a0d0,,40b3d671-0843-4b7e-a698-102035ab626e,A1.1 — Existence,classification,Classification,classification_glyphs_attached,recorded,NOT_ESTABLISHED,active_candidate,not_applicable,D:\GitHub\Faith-through-physics-atoms\_docs\AXIOMS_PART1_MODE_CLASSIFICATION.md,,,Codex,2026-08-05T05:29:36+00:00,Attached Part 1 classification glyphs for A1.1 as AX_CORE.,Glyphs classify and render the atom; they do not prove it.
tp:lane4/axioms/ax-part1-ax-core-a1-1,sha256:cdf241a3251c14db26df0b5e1bc5447661d843af4785682b29c4ca82d331a0d0,,0efb7769-2eb5-437e-8fc5-290828302cc2,A1.1 — Existence,classification,Classification,classification_glyphs_attached,recorded,NOT_ESTABLISHED,active_candidate,not_applicable,D:\GitHub\Faith-through-physics-atoms\_docs\AXIOMS_PART1_MODE_CLASSIFICATION.md,,,Codex,2026-08-05T05:30:27+00:00,Attached Part 1 classification glyphs for A1.1 as AX_CORE.,Glyphs classify and render the atom; they do not prove it.
tp:lane4/axioms/ax-part1-ax-core-a1-2,sha256:36ec35e35c1dbb09fec511485e66c64159a91d066864ff053fb969f4af083787,,,A1.2 — Distinction,classification,Classification,classification_imported,recorded,NOT_ESTABLISHED,active_candidate,not_applicable,O:\_Theophysics_v5\00_AXIOMS\_LOSSLESS_SUMMARY\AXIOMS_PART1_MODE_CLASSIFICATION.md,,,Codex,2026-07-28T19:10:19+00:00,Imported Part 1 mode classification row A1.2 as AX_CORE.,Classification import is not proof and does not promote the claim to canon.
tp:lane4/axioms/ax-part1-ax-core-a1-2,sha256:36ec35e35c1dbb09fec511485e66c64159a91d066864ff053fb969f4af083787,,2f72a814-268a-483c-a478-a4c3fab31473,A1.2 — Distinction,classification,Classification,classification_glyphs_attached,recorded,NOT_ESTABLISHED,active_candidate,not_applicable,D:\GitHub\Faith-through-physics-atoms\_docs\AXIOMS_PART1_MODE_CLASSIFICATION.md,,,Codex,2026-08-05T05:29:36+00:00,Attached Part 1 classification glyphs for A1.2 as AX_CORE.,Glyphs classify and render the atom; they do not prove it.
tp:lane4/axioms/ax-part1-ax-core-a1-2,sha256:36ec35e35c1dbb09fec511485e66c64159a91d066864ff053fb969f4af083787,,bda5577a-3ae2-4e4f-9fc9-a0e02d982453,A1.2 — Distinction,classification,Classification,classification_glyphs_attached,recorded,NOT_ESTABLISHED,active_candidate,not_applicable,D:\GitHub\Faith-through-physics-atoms\_docs\AXIOMS_PART1_MODE_CLASSIFICATION.md,,,Codex,2026-08-05T05:30:27+00:00,Attached Part 1 classification glyphs for A1.2 as AX_CORE.,Glyphs classify and render the atom; they do not prove it.
tp:lane4/axioms/ax-part1-ax-core-a2-1,sha256:4e22e0caac6c6a085e1d7d3f7998dd6a438759b3026f1a451b61334f38116a28,,,A2.1 — Substrate Requirement,classification,Classification,classification_imported,recorded,NOT_ESTABLISHED,active_candidate,not_applicable,O:\_Theophysics_v5\00_AXIOMS\_LOSSLESS_SUMMARY\AXIOMS_PART1_MODE_CLASSIFICATION.md,,,Codex,2026-07-28T19:10:19+00:00,Imported Part 1 mode classification row A2.1 as AX_CORE.,Classification import is not proof and does not promote the claim to canon.
tp:lane4/axioms/ax-part1-ax-core-a2-1,sha256:4e22e0caac6c6a085e1d7d3f7998dd6a438759b3026f1a451b61334f38116a28,,eea31bb9-843f-4fae-a408-863a2cf2e904,A2.1 — Substrate Requirement,classification,Lean4,test_run,pass,NOT_ESTABLISHED,active_candidate,not_applicable,D:\GitHub\Faith-through-physics-atoms\_runtime\lean_receipts\SUBSTRATE_RECORD_KERNEL_RECEIPT_2026-08-02.md,,,Codex,2026-08-03T00:43:16+00:00,"Lean compiled a formal substrate/record identity kernel: declared substrate and record identities are preserved through transformation, and visible form alone is not identity.","Conditional formal-model receipt only; does not prove substrate existence, self-grounding, Logos, Christ, or the adequacy of the theological mapping."
tp:lane4/axioms/ax-part1-ax-core-a2-1,sha256:4e22e0caac6c6a085e1d7d3f7998dd6a438759b3026f1a451b61334f38116a28,,220e2c3c-fbb4-47be-8337-b728243c1448,A2.1 — Substrate Requirement,classification,Lean4,test_run,pass,NOT_ESTABLISHED,active_candidate,not_applicable,D:\GitHub\Faith-through-physics-atoms\_runtime\lean_receipts\primary-h-drive-direct-substrate-record-kernel-receipt-20260803T010308Z.md,,,Codex,2026-08-03T01:03:08+00:00,Substrate-record preservation kernel was imported into the primary H-drive Lean source and direct Lean compilation passes. This verifies the self-contained kernel despite the full Lake project being blocked by the mathlib git index lock.,"Formal conditional model only: proves preservation consequences inside the model, not substrate existence, self-grounding, Logos identity, or Christological truth. This is direct-file verification, not a full project Lake build."
tp:lane4/axioms/ax-part1-ax-core-a2-1,sha256:4e22e0caac6c6a085e1d7d3f7998dd6a438759b3026f1a451b61334f38116a28,,91ab5cdd-893f-4ce2-b4f0-3e8e20304e39,A2.1 — Substrate Requirement,classification,Classification,classification_glyphs_attached,recorded,NOT_ESTABLISHED,active_candidate,not_applicable,D:\GitHub\Faith-through-physics-atoms\_docs\AXIOMS_PART1_MODE_CLASSIFICATION.md,,,Codex,2026-08-05T05:29:36+00:00,Attached Part 1 classification glyphs for A2.1 as AX_CORE.,Glyphs classify and render the atom; they do not prove it.
