row_id,source_file,claim_text,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,proof_label,grade,recommended_atom_action,notes
CANON-capstone-001,CAPSTONE_FORMALISM_v1.md,The χ-field Lagrangian yields the field equation □χ + m²χ + λχ³ = J_grace via Euler-Lagrange variation.,"variational calculus, scalar field theory, GR background",derives χ-field equation of motion,Klein-Gordon/φ⁴ structure preserved,"propagator, stability, and Noether results lose foundation",B→C translation (field → coherence measure),coherent,yes,yes,T,B,create_claim_atom,Derived result; standard QFT procedure. Honest scope: assumes Lagrangian.
CANON-capstone-002,CAPSTONE_FORMALISM_v1.md,The free χ-field propagator is D(p) = 1/(p² - m²) with positive residue +1.,quadratic Lagrangian for χ,establishes ghost-free propagation,positive-norm pole structure preserved,stability and causality of χ-field collapse,B internal,coherent,yes,yes,T,B,create_claim_atom,Derived result from quadratic form.
CANON-capstone-003,CAPSTONE_FORMALISM_v1.md,The non-relativistic limit of the χ-field reduces to the Gross-Pitaevskii equation.,"slowly-varying envelope approximation, χ-field equation",connects χ-field to BEC/coherence fluid,Schrödinger/NLSE floor preserved,condensate interpretation of coherence collapses,B→C bridge,coherent,yes,yes,T,B,create_claim_atom,Derived limiting case.
CANON-capstone-004,CAPSTONE_FORMALISM_v1.md,"Noether's theorem gives conserved U(1) current, energy, and momentum for the χ-field.",continuous symmetries of χ-field action,derives conserved quantities,Noether theorem floor preserved,conservation-law bridge claims collapse,B→C bridge,coherent,yes,yes,T,B,create_claim_atom,Standard derivation.
CANON-capstone-005,CAPSTONE_FORMALISM_v1.md,Stability analysis shows χ = 0 is a stable minimum for m² > 0 and λ > 0.,potential V(χ) = ½m²χ² + ¼λχ⁴,establishes vacuum stability,positive-definite energy preserved,vacuum-stability predictions collapse,B internal,coherent,yes,yes,T,B,create_claim_atom,Derived from potential.
CANON-capstone-006,CAPSTONE_FORMALISM_v1.md,The modified Einstein equations yield effective gravitational coupling G_eff = G/(1 + ξκ₀χ²).,metric variation of χ-GR action,predicts screened/modified gravity,Einstein tensor structure preserved,galaxy rotation and cosmology predictions collapse,B→C bridge,coherent,yes,yes,T,B,create_claim_atom,Derived result; observational bounds noted.
CANON-capstone-007,CAPSTONE_FORMALISM_v1.md,"Five falsification conditions are named: Euclid fσ₈, Cassini ξ bound, DESI dark energy, manuscript transmission, and consciousness-QM coupling.",derived cosmological and information-theoretic models,makes framework empirically killable,scientific method floor preserved,falsifiability claim collapses,B empirical,coherent,yes,yes,E,B,create_claim_atom,Empirical boundary conditions.
CANON-capstone-008,CAPSTONE_FORMALISM_v1.md,The modified Heisenberg relation Δx·Δp ≥ ℏ(1-C)/2 is asserted without a modified commutator derivation.,"standard uncertainty principle, coherence measure C",proposes coherence-dependent uncertainty,standard Heisenberg floor preserved in C→0 limit,related vacuum-fluctuation claims collapse,B→C conjecture,coherent_partial,needs_review,yes,PH,E,create_gap_atom,Asserted-not-derived per capstone honest report. Open problem.
CANON-capstone-009,CAPSTONE_FORMALISM_v1.md,SU(2)_trinity gauge symmetry is asserted without gauge bosons or covariant derivative.,gauge theory framework,proposes trinity-typed gauge structure,none demonstrated,Trinity-as-gauge claims collapse,A↔B speculative,defective,needs_review,needs_review,PM,E,create_gap_atom,Asserted-not-derived per capstone honest report.
CANON-capstone-010,CAPSTONE_FORMALISM_v1.md,A resurrection operator is asserted but is non-unitary and breaks probability conservation.,quantum operator formalism,proposes sign-flip operator,unitary QM floor not preserved,resurrection-as-operator claim collapses,A→B failed,defective,needs_review,no,PM,F,create_gap_atom,Flagged for retirement in capstone honest report.
CANON-adversary-001,ADVERSARY_FORMALISM_I_A_CHI.md,Adversarial mutual information satisfies 0 ≤ I(A;χ) ≤ H(χ).,"Shannon entropy, conditional entropy",quantifies adversary's structural knowledge,information-theoretic bounds preserved,adversary budget analysis collapses,B→C bridge,coherent,yes,yes,T,B,create_claim_atom,Follows from non-negativity of conditional entropy.
CANON-adversary-002,ADVERSARY_FORMALISM_I_A_CHI.md,The optimal adversarial perturbation is δ* = -ε·∇_V χ/‖∇_V χ‖ (steepest descent on χ).,"differentiability of χ, Cauchy-Schwarz",derives optimal attack direction,gradient descent structure preserved,attack sequence claim collapses,B→C bridge,coherent,yes,yes,T,B,create_claim_atom,Theorem 2.3; standard optimization.
CANON-adversary-003,ADVERSARY_FORMALISM_I_A_CHI.md,"The gradient ∇_V χ is largest in the direction of the smallest Vᵢ, so the adversary attacks the weakest variable first.","product-form χ, partial derivatives",identifies vulnerability-gradient attack strategy,product-rule structure preserved,T→K→Q attack sequence loses foundation,B→C bridge,coherent,yes,yes,T,B,create_claim_atom,Corollary 2.4.
CANON-adversary-004,ADVERSARY_FORMALISM_I_A_CHI.md,"At the systems level, a deception network costs more Kolmogorov complexity to maintain than a truth network.","Kolmogorov complexity, consistency constraints",quantifies structural cost of deception networks,computational complexity floor preserved,anti-Logos cost claim collapses,B→C bridge,coherent_partial,partial,yes,T,C,create_bridge_atom,Systems-level only; per-statement inequality is false. Honest scope noted.
