dest_name,source_path,bytes,title,finding
CF04_Naturalism.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\CaseFile_Closings\CF04_Naturalism.md,3125,CF04: THE PROSECUTION OF NATURALISM,
CF05_ObserverDenial.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\CaseFile_Closings\CF05_ObserverDenial.md,3028,CF05: THE PROSECUTION OF OBSERVER DENIAL,
CF06_SelfSalvation.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\CaseFile_Closings\CF06_SelfSalvation.md,3325,CF06: THE PROSECUTION OF SELF-SALVATION,- All born with σ = -1
CF07_Incoherence.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\CaseFile_Closings\CF07_Incoherence.md,3477,CF07: THE PROSECUTION OF INCOHERENCE,
CF08_LogosWins.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\CaseFile_Closings\CF08_LogosWins.md,4263,CF08: FINAL VERDICT - LOGOS WINS,
F01_Existence.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase1_Foundation\F01_Existence.md,8838,F01: WHY SOMETHING RATHER THAN NOTHING,| 003 | P0.3 | Distinguishability IS information | H(X) = -Σ p(x) log p(x) |
F02_Information.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase1_Foundation\F02_Information.md,11480,F02: INFORMATION IS FUNDAMENTAL,| 003 | P0.3 | Distinguishability IS information | H(X) = -Σ p(x) log p(x) |
F03_Coherence.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase1_Foundation\F03_Coherence.md,12010,F03: THE COHERENCE IMPERATIVE,"Christ is the principle of coherence that ""holds all things together."""
F04_Actuality.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase1_Foundation\F04_Actuality.md,12268,F04: POTENTIALITY AND ACTUALIZATION,| 011 | O3.1 | Some things exist as possibility before actuality | \|ψ⟩ = Σ cᵢ\|φᵢ⟩ |
F05_Agency.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase1_Foundation\F05_Agency.md,13170,F05: AGENCY IS REAL,**THE CHAIN HOLDS.**
G01_SelfGrounding.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase2_God\G01_SelfGrounding.md,13064,G01: THE SELF-GROUNDING SUBSTRATE,**THE CHAIN HOLDS.**
G02_Omniscience.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase2_God\G02_Omniscience.md,12488,G02: DIVINE OMNISCIENCE,**THE CHAIN HOLDS.**
G03_Omnipotence.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase2_God\G03_Omnipotence.md,12169,G03: DIVINE OMNIPOTENCE,Potentiality: |ψ⟩ = Σ cᵢ|φᵢ⟩
G04_Omnipresence.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase2_God\G04_Omnipresence.md,10375,G04: DIVINE OMNIPRESENCE,| Attempt to Escape | Result |
G05_Eternity.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase2_God\G05_Eternity.md,11271,G05: DIVINE ETERNITY,"> **God exists outside time because time emerges from χ, and God is prior to χ. God doesn't experience succession—He holds all moments in eternal now.**"
G06_Perfection.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase2_God\G06_Perfection.md,10760,G06: DIVINE PERFECTION,**THE CHAIN HOLDS.**
G07_MoralNature.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase2_God\G07_MoralNature.md,11432,G07: THE MORAL NATURE OF GOD,**THE CHAIN HOLDS.**
G08_DivineNegation.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase2_God\G08_DivineNegation.md,11513,G08: WHAT GOD CANNOT DO,**THE CHAIN HOLDS.**
T01_TrinityNecessity.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase3_Trinity\T01_TrinityNecessity.md,14354,T01: THE TRINITY: MATHEMATICAL NECESSITY,**THE CHAIN HOLDS.**
T02_OperatorAlgebra.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase3_Trinity\T02_OperatorAlgebra.md,12191,T02: THE TRINITY OPERATOR ALGEBRA,| Operation | Result |
T03_Perichoresis.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase3_Trinity\T03_Perichoresis.md,12652,T03: PERICHORESIS AND UNITY,**THE CHAIN HOLDS.**
T04_BC4Uniqueness.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase3_Trinity\T04_BC4Uniqueness.md,16786,T04: WHY ONLY CHRISTIANITY SATISFIES BC4,"| ""Can Buddhist enlightenment save from σ = -1?"" | ""Enlightenment is self-realization..."" | L8.1 proves self-flip is impossible. Buddhism offers no external grace. |"
H01_Constitution.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase4_Human\H01_Constitution.md,12465,H01: HUMAN CONSTITUTION,**THE CHAIN HOLDS.**
H02_Body.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase4_Human\H02_Body.md,14344,H02: THE BODY AS INTERFACE,1. **Brain generates consciousness (proven)**
H03_Soul.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase4_Human\H03_Soul.md,14169,H03: THE SOUL FIELD (ψ_S),- Information realism holds
H04_Spirit.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase4_Human\H04_Spirit.md,14875,H04: THE HUMAN SPIRIT,- Distinction holds
H05_Flesh.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase4_Human\H05_Flesh.md,17279,H05: THE FLESH (SARX),| Result | Universal sin nature |
H06_Consciousness.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase4_Human\H06_Consciousness.md,16146,H06: CONSCIOUSNESS AND Φ,"| ""IIT is just a theory—not proven"" | Best current theory. Matches data. Falsifiable. What's your alternative? | ✅ Blocked |"
H07_ConscBounds.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase4_Human\H07_ConscBounds.md,13534,H07: THE BOUNDS OF CONSCIOUSNESS,- Creature/Creator distinction holds
H08_MoralSign.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase4_Human\H08_MoralSign.md,13892,H08: THE MORAL SIGN (σ),# H08: THE MORAL SIGN (σ)
H09_Observer.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase4_Human\H09_Observer.md,14637,H09: THE OBSERVER PROBLEM,|ψ⟩ = Σ cᵢ|φᵢ⟩ (superposition)
R01_Sin.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase5_Solution\R01_Sin.md,14709,R01: SIN AS DECOHERENCE,You are the σ = -1 system trying to fix σ = -1 damage
R02_NoSelfSave.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase5_Solution\R02_NoSelfSave.md,14253,R02: WHY YOU CANNOT SAVE YOURSELF,"The self-flip impossibility theorem proves what Christian theology has long maintained: you cannot save yourself. Unitary self-operations preserve eigenvalues. If your moral sign is σ = -1, no interna"
R03_Grace.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase5_Solution\R03_Grace.md,15569,R03: GRACE AS EXTERNAL OPERATOR,"> **Grace (Ĝ) is an external operator from God that accomplishes what you cannot: σ flip and coherence restoration. It is non-unitary, unmerited, sufficient, and comes through Christ alone.**"
R04_Faith.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase5_Solution\R04_Faith.md,15749,R04: FAITH AS COUPLING,- σ flip occurs
R05_Redemption.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase5_Solution\R05_Redemption.md,16450,R05: REDEMPTION COMPLETE,| 173 | R4.1 | Justification is instant and complete | σ: -1 → +1 (instantaneous) |
R06_Coherence.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase5_Solution\R06_Coherence.md,16061,R06: COHERENCE RESTORATION,| 177 | R5.2 | Trajectory toward C_max | σ = +1 → dC/dt > 0 |
R07_Destiny.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase5_Solution\R07_Destiny.md,15690,R07: BIMODAL DESTINY,The coherence dynamics proven throughout Theophysics lead inevitably to this conclusion: reality has exactly two attractors for souls—maximal coherence (heaven) and minimal coherence (hell). There is 
D01_SelfFlip.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase6_Supporting\D01_SelfFlip.md,14670,D01: THE SELF-FLIP IMPOSSIBILITY THEOREM,> **No being with σ = -1 can flip its own sign to +1. Self-salvation is mathematically impossible. This is the formal proof that grounds *sola gratia*.**
D02_TerminalObs.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase6_Supporting\D02_TerminalObs.md,15593,D02: THE TERMINAL OBSERVER THEOREM,**THE CHAIN HOLDS.**
D03_TrinityUnique.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase6_Supporting\D03_TrinityUnique.md,17004,D03: THE TRINITY UNIQUENESS THEOREM,"Result: Static, unknowing, unloving monad"
D04_ChristUnique.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase6_Supporting\D04_ChristUnique.md,20539,D04: THE CHRISTIANITY UNIQUENESS THEOREM,| BC5 | Humans need salvation | σ = -1 (fallen state) | vs. Pelagianism |
D05_MoralReal.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase6_Supporting\D05_MoralReal.md,16887,D05: THE MORAL REALISM THEOREM,**THE CHAIN HOLDS.**
D06_SoulConserv.md,//192.168.2.50/h_hp/Desktop 2/Axioms of GOd\Phase6_Supporting\D06_SoulConserv.md,17052,D06: THE SOUL CONSERVATION THEOREM,"| ""What about near-death experiences?"" | ""Just dying brain hallucinations..."" | But some NDEs include verified observations from outside the body. Hallucinations can't do that. |"
01_Lowe_Coherence_Lagrangian_Formal_Test.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\01_Lowe_Coherence_Lagrangian_Formal_Test.md,3980,01_Lowe_Coherence_Lagrangian_Formal_Test.ipynb,**Status:** Isolated Formal Test — Two ✅ PASSED Verdicts
canonical_derivation.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\canonical_derivation.md,5034,canonical_derivation.ipynb,"The formal mathematical derivation. This is where the physics is proven symbolically — before any numbers, before any numerical experiments — using SymPy's computer algebra system to derive results ex"
chi_field.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\chi_field.md,4469,chi_field.ipynb,
chi_field_potential_search.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\chi_field_potential_search.md,2854,chi_field_potential_search.ipynb,
COLAB_MASTER.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\COLAB_MASTER.md,3787,COLAB_MASTER.ipynb,"Where σ is the decay rate, G is grace input, and τ is the time constant."
COLAB_SINGLE_FILE.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\COLAB_SINGLE_FILE.md,2343,COLAB_SINGLE_FILE.ipynb,"Every serious research project needs a ""one-file"" version. The paper serves this purpose in traditional science — a single document that contains the claim, the method, and the result. For computation"
constraint_model.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\constraint_model.md,3114,constraint_model.ipynb,"**Strategy evaluation:** Given any parameter vector (10 continuous/discrete parameters), evaluate all 6 constraints and return constraint count and all-passed boolean."
Family_Lagrangian_Workbench.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\Family_Lagrangian_Workbench.md,4120,Family_Lagrangian_Workbench.ipynb,This is the Lagrangian stress-test notebook. It doesn't just run the Lowe Coherence Lagrangian (LLC) once — it benchmarks it against standard physics models and then randomizes it 60 times across diff
galaxy_rotation_curves.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\galaxy_rotation_curves.md,3500,galaxy_rotation_curves.ipynb,"The result is an effective additional gravitational contribution at large radii — not from invisible matter, but from the chi-field's self-coupling structure. The rotation curve flattens because G_eff"
generate_all_charts.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\generate_all_charts.md,2679,generate_all_charts.ipynb,
hubble_gradient.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\hubble_gradient.md,4442,hubble_gradient.ipynb,The notebook computes the chi-field H₀(z) curve and compares it to observational H₀ measurements at multiple redshifts. The result is a 5σ statistical match — the chi-field prediction is consistent wi
ArmorOfGod.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\ArmorOfGod.md,2965,ArmorOfGod.lean,"**`armor_stability`** — if the state is `one` (righteous/aligned), any armor piece preserves it: `state = one → Protects p state = one`. Proved immediately by `simp`."
CoherenceAlgebra.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\CoherenceAlgebra.md,3009,CoherenceAlgebra.lean,"2. **Proves the list product zero theorem** — if any single element in a list product equals zero, the entire product is zero. Fully proved. No `sorry`. This is the formal backbone of ""one broken law "
DualSubstrate.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\DualSubstrate.md,3317,DualSubstrate.lean,"No sorry. No axioms beyond the bare minimum. No hidden assumptions. Two opaque types, one support function, two hypotheses, one conclusion. This is what clean formal proof looks like. Any physicist or"
FruitsOfSpirit.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\FruitsOfSpirit.md,3030,FruitsOfSpirit.lean,The Strong Force (Law R / Love) is the binding force that holds the nucleus together at short range — stronger than any other force at close distances. FruitsOfSpirit.lean maps this to Law 4 (the Stro
GenesisQuantum.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\GenesisQuantum.md,2527,GenesisQuantum.lean,
GraceChain.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\GraceChain.md,2845,GraceChain.lean,This is a subtle but important formal result. The two theorems together show that the chain is faith-dependent but not faith-initiated — it depends on what enters the faith function. And what enters t
GraceOperator.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\GraceOperator.md,3109,GraceOperator.lean,Three theorems are proved:
Isomorphism.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\Isomorphism.md,3363,Isomorphism.lean,**`G6_Kill_Isomorphism`** — heat death and spiritual death are the same formal event: `IsHeatDeath state ↔ state = zero`. Proved by `rfl` — definitional equality. No proof steps needed because the def
JusticeMercy.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\JusticeMercy.md,2757,JusticeMercy.lean,"**Role:** Proves that Justice and Mercy are structurally isomorphic — same result, different parameter"
Law9Asymmetry.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\Law9Asymmetry.md,2537,Law9Asymmetry.lean,The formal consequence: there is no `SinInverse` in the operator algebra that could map zero back to one using the same mechanism. The Grace Operator does this — but Grace is explicitly external to th
MasterEquation.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\MasterEquation.md,2627,MasterEquation.lean,
NoetherCommandments.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\NoetherCommandments.md,3192,NoetherCommandments.lean,"The proof is fully verified by Lean via induction: base case is trivial (empty list = one), inductive step uses `one_mul` and the symmetry hypothesis."
ResurrectionFormal.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\ResurrectionFormal.md,3333,ResurrectionFormal.lean (Package),"**Mapping** — the 1-to-1 order-preserving map from physics sequence to theology sequence. `localization → incarnation`, `confirmation → resurrection`. Proved by `rfl`."
SystemRegistry.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\SystemRegistry.md,2463,SystemRegistry.lean,**`Address`** — a function from Variable to Score. The full semantic address of the system state: what score each of the ten variables currently holds.
Thermodynamics.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\Thermodynamics.md,2915,Thermodynamics.lean,This is not a claim that the real physical universe will end in heat death (though it might). It is a formal claim about what happens when you have a closed system with only decaying operators availab
WolframGauntlet.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\LEAN4\WolframGauntlet.md,4431,_wolfram_gauntlet_ten_laws.wl,Each physical law is verified by computing or checking its core mathematical property:
master_equation.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\master_equation.md,4052,master_equation.ipynb,"The mass matrix computation in particular benefits from JAX autodiff: rather than approximating the Hessian numerically, it is computed exactly. This is what allows energy conservation to be verified "
maxwell_mirror_v1_saddle.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\maxwell_mirror_v1_saddle.md,3002,maxwell_mirror_v1_saddle.ipynb,"The first version of the Maxwell mirror analysis. Where `maxwell_mirror_verification.ipynb` is the polished five-test verification, this v1 notebook focuses specifically on a subtler result: the saddl"
maxwell_mirror_verification.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\maxwell_mirror_verification.md,4292,maxwell_mirror_verification.ipynb,"The 10×10 mass matrix (Hessian of the Lagrangian w.r.t. velocity) is computed using JAX autodifferentiation. The 2×2 E-K block is extracted. Result: the block is symmetric, positive definite, and well"
migrate_academic.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\migrate_academic.md,2391,migrate_academic.ipynb,"- Test number, description, result, timing, p-value (where applicable)"
rotation_curves_chi_field.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\rotation_curves_chi_field.md,2427,rotation_curves_chi_field.ipynb,## Key Result
run_all.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\run_all.md,1985,run_all.ipynb,- JSON result files for each test
run_all_tests.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\run_all_tests.md,1555,run_all_tests.ipynb,- Complete set of result JSON files
run_biblical_tests.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\run_biblical_tests.md,2196,run_biblical_tests.ipynb,- Individual result JSON files (test03_results.json through test09_results.json)
run_module2.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\run_module2.md,2466,run_module2.py,
solve_master_equation.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\solve_master_equation.md,2938,solve_master_equation.ipynb,
