atom_id,title,domain,lane,claim_class,mode_classification,proof_label,status,polarity,motifs,good_terms,bad_terms
tp:lane4/axioms/ax-part1-ax-derived-bc2,BC2 — Grace External To System,axioms,Classification,classification,AX_DERIVED,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-ax-derived-t3-1,T3.1 — Coherence Cannot Self-Increase,axioms,Classification,classification,AX_DERIVED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-ax-scaffold-d11-1,D11.1 — Moral Coherence Definition,axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-ax-scaffold-d14-1,D14.1 — Cosmological Grace Function,axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-ax-scaffold-d19-6,D19.6 — Law VI Definition (Coherence Non-Increase),axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-ax-scaffold-d19-9,D19.9 — Law IX Definition (Grace Non-Unitarity),axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-ax-scaffold-d3-1,D3.1 — Coherence Functional Definition,axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-ax-scaffold-d6-1,D6.1 — Collapse Rate Gamma,axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate,bad_degradation,decoherence_corruption,,collapse
tp:lane4/axioms/ax-part1-ax-scaffold-d9-1,D9.1 — Grace Operator Definition,axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-ax-scaffold-e3-1,E3.1 — Master Coherence Equation,axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-ax-scaffold-e3-2,E3.2 — Universal Coherence Definition,axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-ax-scaffold-e6-2,E6.2 — Phi-Dependent Collapse,axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate_unanchored,bad_degradation,decoherence_corruption,,collapse
tp:lane4/axioms/ax-part1-ax-scaffold-e9-1,E9.1 — Grace Function G(t),axioms,Classification,classification,AX_SCAFFOLD,NOT_ESTABLISHED,active_candidate,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-fw-extended-050-e6-1-modified-schrodinger-with-collapse,E6.1 — Modified Schrodinger With Collapse,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,bad_degradation,decoherence_corruption,,collapse
tp:lane4/axioms/ax-part1-fw-extended-a11-2,A11.2 — Coherence-Morality Identity,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-a3-2,A3.2 — Coherence Measure,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-a6-2,A6.2 — Collapse,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,bad_degradation,decoherence_corruption,,collapse
tp:lane4/axioms/ax-part1-fw-extended-a9-2,A9.2 — Non-Unitarity Of Grace,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-fw-extended-bc5,BC5 — Superposition Preserved Until Collapse,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,bad_degradation,decoherence_corruption,,collapse
tp:lane4/axioms/ax-part1-fw-extended-final-2,FINAL-2 - Coherence Optimality,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-o2,O2 — Coherence Primitive,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-p3,P3 — Coherence Stage,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-p3-1,P3.1 — Coherence Non-Negativity,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-p3-2,P3.2 — Coherence Conservation,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-p6-1,P6.1 — Collapse Rate Proportional To Phi,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate_unanchored,bad_degradation,decoherence_corruption,,collapse
tp:lane4/axioms/ax-part1-fw-extended-p6-2,P6.2 — Collapse Generates Heat,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate_unanchored,bad_degradation,decoherence_corruption,,collapse
tp:lane4/axioms/ax-part1-fw-extended-p9-1,P9.1 — Grace Idempotence,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-fw-extended-p9-3,P9.3 — Information Preserved Under Grace,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-fw-extended-p9-5,P9.5 — Grace Available To All,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-fw-extended-sc-cosmic,SC-COSMIC - Cosmic Scale Coherence,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-sc-individual,SC-INDIVIDUAL - Individual Scale Coherence,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-sc-neural,SC-NEURAL - Neural Scale Coherence,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-sc-physical,SC-PHYSICAL - Physical Scale Coherence,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-sc-quantum,SC-QUANTUM - Quantum Scale Coherence,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-sc-social,SC-SOCIAL - Social Scale Coherence,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-t11-1,T11.1 — Virtue As High Phi,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,good_alignment,coherence_alignment,virtue,
tp:lane4/axioms/ax-part1-fw-extended-t11-2,T11.2 — Vice As Decoherence,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate,mixed_good_bad,coherence_alignment; decoherence_corruption,coherence,decoherence; vice
tp:lane4/axioms/ax-part1-fw-extended-u1,U1 — Coherence Universal,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-fw-extended-u2,U2 — Decoherence Universal,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate_unanchored,mixed_good_bad,coherence_alignment; decoherence_corruption,coherence,decoherence
tp:lane4/axioms/ax-part1-fw-extended-u3,U3 — Grace Universal,axioms,Classification,classification,FW_EXTENDED,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-hy-evidence-a14-2,A14.2 — Grace Cosmology,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-hy-evidence-ev15-4,EV15.4 — Social Coherence 5.7 Sigma,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-hy-evidence-f1,F1 — Love Measurement Domain,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,standard_exposure,love,
tp:lane4/axioms/ax-part1-hy-evidence-f6,F6 — Goodness Measurement Domain,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,standard_exposure; coherence_alignment,good; goodness,
tp:lane4/axioms/ax-part1-hy-evidence-fals18-2,FALS18.2 — Grace Falsification,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-hy-evidence-prot18-2,PROT18.2 — Consciousness Collapse Test,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate_unanchored,bad_degradation,decoherence_corruption,,collapse
tp:lane4/axioms/ax-part1-hy-evidence-prot18-3,PROT18.3 — Grace Negentropy Detection,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,restoration,grace,
tp:lane4/axioms/ax-part1-hy-evidence-prot18-4,PROT18.4 — Social Coherence Monitoring,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,coherence_alignment,coherence,
tp:lane4/axioms/ax-part1-hy-evidence-prot18-5,PROT18.5 — Phi-Virtue Correlation Study,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,coherence_alignment,virtue,
tp:lane4/axioms/ax-part1-hy-evidence-u4,U4 — Fruits Universal,axioms,Classification,classification,HY_EVIDENCE,NOT_ESTABLISHED,active_candidate_unanchored,good_alignment,restoration,fruit,
tp:lane4/coherence-atlas/coherence-atlas-isomorphic-event-lane,Coherence Atlas Isomorphic Event Lane,coherence-atlas,Lane4,isomorphic_event,candidate,ISOMORPHIC_EVENT_CANDIDATE,active_candidate,good_alignment,coherence_alignment,coherence,
